3B,東京都,あきる野市、羽村市、昭島市、西多摩郡奥多摩町、西多摩郡瑞穂町、西多摩郡日の出町、西多摩郡檜原村、青梅市、八王子市、武蔵村山市、福生市、国分寺市、国立市、三鷹市、小金井市、小平市、西東京市、調布市、東村山市、東大和市、府中市、武蔵野市、立川市、清瀬市、東久留米市,,,,,,,
3B,山梨県,北都留郡小菅村、北都留郡丹波山村,,,,,,,
3C,千葉県,印西市、印旛郡酒々井町、佐倉市、山武郡芝山町、成田市、八街市、富里市,,,,,,,
3D,神奈川県,川崎市幸区、川崎市中原区、横浜市港北区、横浜市鶴見区、小田原市、秦野市、足柄下郡真鶴町、足柄下郡湯河原町、足柄上郡松田町、南足柄市、横須賀市、鎌倉市、三浦郡葉山町、三浦市、逗子市、横浜市栄区、横浜市戸塚区、横浜市港南区,,,,,,,
3D,静岡県,熱海市,,,,,,,
3E,山梨県,韮崎市、北杜市,,,,,,,
3E,静岡県,沼津市、三島市、駿東郡清水町、駿東郡長泉町,,,,,,,
4A,栃木県,下都賀郡岩舟町、佐野市、足利市、栃木市,,,,,,,
4A,群馬県,館林市、邑楽郡千代田町、邑楽郡板倉町、邑楽郡明和町、邑楽郡邑楽町、邑楽郡大泉町、みどり市、伊勢崎市、桐生市、太田市,,,,,,,
4A,埼玉県,熊谷市、本庄市、加須市,,,,,,,
4B,埼玉県,川口市、草加市、八潮市、さいたま市浦和区、さいたま市桜区、さいたま市西区、さいたま市大宮区、さいたま市中央区、さいたま市南区、さいたま市北区、戸田市、さいたま市岩槻区、桶川市、加須市、久喜市、幸手市、上尾市、南埼玉郡宮代町、南埼玉郡白岡町、北足立郡伊奈町、蓮田市、蕨市、さいたま市緑区、鳩ヶ谷市、ふじみ野市、熊谷市、鴻巣市、坂戸市、深谷市、川越市、大里郡寄居町、秩父郡皆野町、秩父郡長瀞町、鶴ヶ島市、東松山市、日高市、入間郡越生町、入間郡毛呂山町、 比企郡ときがわ町、比企郡滑川町、比企郡吉見町、比企郡小川町、比企郡川島町、比企郡鳩山町、比企郡嵐山町、富士見市,,,,,,,
4B,東京都,足立区,,,,,,,
4C,東京都,稲城市、国立市、昭島市、日野市、八王子市、立川市,,,,,,,
4D,神奈川県,愛甲郡清川村、伊勢原市、海老名市、厚木市、座間市、相模原市中央区、相模原市南区、相模原市緑区、愛甲郡愛川町、横浜市鶴見区、川崎市幸区、川崎市川崎区、川崎市中原区、川崎市高津区、小田原市、秦野市、足柄下郡箱根町、足柄上郡開成町、足柄上郡山北町、足柄上郡松田町、足柄上郡大井町、足柄上郡中井町、南足柄市,,,,,,,
4D,東京都,町田市,,,,,,,
4D,静岡県,駿東郡小山町,,,,,,,
4E,山梨県,甲州市、甲斐市、甲府市、山梨市、西八代郡市川三郷町、中央市、中巨摩郡昭和町、笛吹市、南アルプス市,,,,,,,
5A,栃木県,宇都宮市、日光市、矢板市、塩谷郡塩谷町、さくら市、那須烏山市、大田原市、那須郡那珂川町、芳賀郡市貝町、芳賀郡茂木町、河内郡上三川 町、塩谷郡高根沢町、鹿沼市,,,,,,,
5B,群馬県,伊勢崎市、吾妻郡草津町、吾妻郡中之条町、吾妻郡長野原町、吾妻郡嬬恋村、高崎市、佐波郡玉村町、渋川市、前橋市、安中市、甘楽郡下仁 田町、甘楽郡甘楽町、甘楽郡南牧村、多野郡神流町、藤岡市、富岡市,,,,,,,
5B,埼玉県,児玉郡上里町、児玉郡神川町、深谷市、秩父市、本庄市、三郷市、草加市、八潮市、熊谷市、行田市、越谷市、川口市、児玉郡美里町,,,,,,,
5B,東京都,荒川区、足立区,,,,,,,
5C,千葉県,我孫子市、鎌ケ谷市、松戸市、柏市、野田市、流山市、船橋市、浦安市、市川市,,,,,,,
5D,神奈川県,平塚市、中郡大磯町、中郡二宮町、伊勢原市、茅ヶ崎市、厚木市、秦野市、海老名市、高座郡寒川町、横浜市青葉区、横浜市都筑区、川崎市宮前区、川崎市高津区、愛甲郡愛川町、相模原市中央区、相模原市南区、相模原市緑区、横浜市磯子区、横浜市栄区、横浜市戸塚区、横浜市港南区、横浜市泉区、横浜市南区、鎌倉市、藤沢市、愛甲郡清川村、座間市,,,,,,,
5D,東京都,町田市,,,,,,,
5D,山梨県,上野原市、南都留郡道志村,,,,,,,
5E,山梨県,甲州市、山梨市、大月市、都留市、南都留郡山中湖村、南都留郡西桂町、南都留郡忍野村、南都留郡富士河口湖町、南都留郡鳴沢村、富士吉 田市、北都留郡小菅村、西八代郡市川三郷町、南巨摩郡身延町、南巨摩郡南部町、南巨摩郡富士川町、上野原市,,,,,,,
5E,静岡県,伊東市、伊豆の国市、伊豆市、下田市、賀茂郡河津町、賀茂郡松崎町、賀茂郡西伊豆町、賀茂郡東伊豆町、賀茂郡南伊豆町、三島市、沼津市、 田方郡函南町、熱海市、沼津市、富士宮市、富士市,,,,,,,
